no,location,lat,lng,type,districtL,districtS,address,provider,parkingNo,img,stationList_Id
"1","Temple Mall North","22.3425903320313","114.190719604492","SemiQuick","Kowloon","Wong Tai Sin","\nTemple Mall North Carpark, Level 3, 136 Lung Cheung Rd, Wong Tai Sin, Kln\n","CLP","320-322","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Lung%20Cheung.jpg\n",0
"2","Fu Shing Building","22.4420719146729","114.027671813965","SemiQuick","New Territories","Yuen Long","\nFu Shing Building Carpark, 1/F 9 Sai Ching Street, Yuen Long, NT\n","CLP","33-35","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Fu%20Shing%20Building.jpg\n",0
"3","Lok Fu Plaza Carpark","22.3386573791504","114.186103820801","SemiQuick","Kowloon","Wong Tai Sin","\nLok Fu Plaza Carpark, G/F Wang Tau Hom, Wong Tai Sin, Kln\n","CLP","67-69","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Lo%20Fu_large.jpg\n",0
"4","MegaBox","22.3203277587891","114.208526611328","SemiQuick","Kowloon","Kwun Tong","\nMegaBox Carpark, B/F 38 Wang Chiu Road, Kowloon Bay, Kln\n","CLP","139-141","\n/EV/PublishingImages/common/map/map_thumb/Megabox.jpg\n",0
"5","LOHAS Park - the Capitol","22.2961540222168","114.272148132324","Standard","New Territories","Sai Kung","\nCarpark, G/F, The Capitol, LOHAS Park, Tseung Kwan O, NT\n","CLP","V14-V16","\n/EV/PublishingImages/common/map/map_thumb/Entrance_lohas_large.jpg\n",0
"6","Shek Lei Shopping Centre II","22.3658618927002","114.140121459961","SemiQuick","New Territories","Kwai Tsing","\nShek Lei Shopping Centre Phase II Carpark, 4/F Shek Lei Estate, Kwai Chung, NT\n","CLP","33-35","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Shek%20lei%20shopping%20ctr.jpg\n",0
"7","Fu Tung Shopping Centre","22.2882328033447","113.941909790039","SemiQuick","Outlying Islands","Outlying Islands","\nFu Tung Shopping Centre Carpark, G/F Fu Ting Estate, Tung Chung, Lantau, NT\n","CLP","1001-1003","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Fu%20Tung_large.jpg\n",0
"8","Landmark North","22.5029144287109","114.127586364746","Standard","New Territories","North","\nLandmark North Carpark, B3/F 39 Lung Sum Avenue, Sheung Shui, NT\n","CLP","79-81","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Landmark%20north_large.jpg\n",0
"9","Ocean Terminal","22.2956161499023","114.169357299805","SemiQuick","Kowloon","Yau Tsim Mong","\nOcean Terminal Carpark (Harbour City), 4/F 3-27 Canton Rd, Tsimshatsui, Kln\n","CLP","1250-1251, 1305","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Ocean%20Terminal_large.jpg\n",0
"10","Tai Wo Shopping Centre","22.4504833221436","114.160835266113","SemiQuick","New Territories","Tai Po","\nTai Wo Shopping Centre, 1/F Carpark Tai Wo Estate, Tai Po, NT\n","CLP","B1-B3","\n/EV/PublishingImages/common/map/map_thumb/Entrance_tai%20wo_large.jpg\n",0
"11","Fanling Town Centre","22.4922847747803","114.138900756836","SemiQuick","New Territories","North","\nFanling Town Centre Carpark, B/F 18 Fanling Station Road, Fanling, NT\n","CLP","22-24","\n/EV/PublishingImages/common/map/map_thumb/Fanling%20Town%20Centre.jpg\n",0
"12","Olympian City 2","22.3152523040771","114.162506103516","SemiQuick","Kowloon","Yau Tsim Mong","\nOlympian City 2 Carpark, G/F 18 Hoi Ting Road, West Kowloon\n","CLP","33,35","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Olympian%20city%202.jpg\n",0
"13","Festival Walk","22.338134765625","114.17391204834","Standard","Kowloon","Sham Shui Po","\nFestival Walk Carpark, P1/F, 80 Tat Chee Avenue, Kowloon Tong, Kln\n","CLP","P15-P16","\n/EV/PublishingImages/common/map/map_thumb/Festival%20Walk.jpg\n",0
"14","The Long Beach","22.3194198608398","114.15657043457","SemiQuick","Kowloon","Yau Tsim Mong","\nThe Long Beach Carpark, L1/F 8 Hoi Fai Road, West Kowloon\n","CLP","107-108","\n/EV/PublishingImages/common/map/map_thumb/Entrance_long%20beach_large.jpg\n",0
"15","Kwun Tong Plaza","22.3108863830566","114.225875854492","Standard","Kowloon","Kwun Tong","\nKwun Tong Plaza Carpark, 6/F, 68 Hoi Yuen Road, Kwun Tong, Kln\n","CLP","6P10","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Kwun%20Tong%20Plaza_large.jpg\n",0
"16","Gold Coast Piazza","22.3718738555908","113.993019104004","SemiQuick","New Territories","Tuen Mun","\nGold Coast Piazza Carpark, B/F, 1 Castle Peak Road, Castle Peak Bay, NT\n","CLP","189-190","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Gold%20Coast%20Piazza.jpg\n",0
"17","China Hong Kong City","22.3010005950928","114.167915344238","Standard","Kowloon","Yau Tsim Mong","\nChina Hong Kong City Carpark, B/F 33 Canton Road, Tsim Sha Tsui, Kln\n","CLP","B111","\n/EV/PublishingImages/common/map/map_thumb/Entrance_China%20HK%20city_large.jpg\n",0
"18","Chinachem Tsuen Wan Plaza","22.3752117156982","114.111328125","Standard","New Territories","Tsuen Wan","\nChinachem Tsuen Wan Plaza, 1/F 457 Castle Peak Road, Tsuen Wan, NT\n","CLP","C2","\n/EV/PublishingImages/common/map/map_thumb/Chinachem%20Tsuen%20Wan%20Plaza.jpg\n",0
"19","Hong Kong Science Park","22.4262580871582","114.20987701416","SemiQuick","New Territories","Shatin","\nHong Kong Science Park Carpark P2, B/F, 8-10 Science Park West Avenue, Shatin, N.T.\n","CLP","D042 - D052, D106 - D112","\n/EV/PublishingImages/common/map/map_thumb/Entrance_HK%20Science%20Park_large.jpg\n",0
"20","Tin Shing Court","22.4493846893311","114.001853942871","Standard","New Territories","Yuen Long","\nTin Shing Court Carpark, 3/F, 3 Tin Ching Street, Tin Shui Wai,Yuen Long, N.T.\n","CLP","3177-3186, 3189-3206","\n/EV/PublishingImages/common/map/map_thumb/Tin%20Shing%20Court.jpg\n",0
"21","Shatin Centre","22.382116317749","114.190078735352","SemiQuick","New Territories","Shatin","\nShatin Centre Carpark, 2/F, 2-16 Wang Pok Street, Shatin, N.T.\n","CLP","73-75","\n/EV/PublishingImages/common/map/map_thumb/Shatin%20Centre.jpg\n",0
"22","Mira Mall","22.3006286621094","114.172828674316","SemiQuick","Kowloon","Yau Tsim Mong","\nMira Mall Carpark, B2/F 132 Nathan Road, Tsim Sha Tsui, Kln\n","CLP","2116-2119","\n/EV/PublishingImages/common/map/map_thumb/Miramar%20Shopping%20Centre.jpg\n",0
"23","Langham Place","22.3174228668213","114.168731689453","SemiQuick","Kowloon","Yau Tsim Mong","\nLangham Place Carpark, B4/F, 8 Argyle Street, Mongkok, Kln\n","CLP","22, 41, 64","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Langham%20Place.jpg\n",0
"24","Citygate","22.2911186218262","113.943572998047","SemiQuick","Outlying Islands","Outlying Islands","\nCitygate North Carpark, B1/F, 20 Tat Tung Road, Tung Chung, Lantau\n","CLP","121, 122","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Citygate.jpg\n",0
"25","CLP Centenary Building","22.3077507019043","114.162055969238","Quick","Kowloon","Yau Tsim Mong","\nCLP Centenary Building, G/F, 1 To Wah Road, Jordan, Kowloon\n","CLP","","\n/EV/PublishingImages/common/map/map_thumb/Entrance_CLP%20Centenary%20Building_large.jpg\n",0
"26","Hong Kong Science Park","22.4263610839844","114.209915161133","Quick","New Territories","Shatin","\nHong Kong Science Park Carpark P2, B/F, 8-10 Science Park West Avenue, Shatin, N.T.\n","CLP","D104","\n/EV/PublishingImages/common/map/map_thumb/Entrance_HK%20Science%20Park_large.jpg\n",0
"27","Hong Kong International Airport","22.3181991577148","113.933769226074","SemiQuick","Outlying Islands","Outlying Islands","\nHK International Airport Carpark 4, 1/F, 11 Cheong Tat Road, Hong Kong International Airport, Chek Lap Kok\n","CLP","1004 -1005, 1085-1086","\n/EV/PublishingImages/common/map/map_thumb/Entrance_HK%20International%20Airport.jpg\n",0
"28","The Peak Galleria","22.270471572876","114.149543762207","Standard","Hong Kong Island","Central and Western","\nThe Peak Galleria Carpark, B1/F 118 Peak Road, The Peak, Hong Kong\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/The%20Peak%20Galleria%20Carpark%2002.jpg\n",0
"29","Star Ferry","22.2830810546875","114.160255432129","Standard;SemiQuick","Hong Kong Island","Central and Western","\nStar Ferry Carpark 1/F,9 Edinburgh Place, Central, Hong Kong\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Star%20Ferry%20Carpark%2001.jpg\n",0
"30","Cityplaza","22.2865810394287","114.218032836914","Standard","Hong Kong Island","Eastern","\nCityplaza, Carpark B3 18 Taikoo Shing Road, Taikoo Shing, Hong Kong\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Cityplaza.jpg\n",0
"31","Oi Tung Estate","22.2803726196289","114.226852416992","Standard","Hong Kong Island","Eastern","\nOi Tung Estate Carpark, 2/F, Oi Tung Estate, Shau Kei Wan, Hong Kong\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Oi%20Tung%20Estate.jpg\n",0
"32","Tin Hau Carpark","22.2830295562744","114.191688537598","Standard","Hong Kong Island","Eastern","\nTin Hau Carpark, 3/F, Lau Sin Street & Electric Road Junction, Tin Hau, Hong Kong\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Tin%20Hau%20Carpark.jpg\n",0
"33","Cyberport","22.262451171875","114.130599975586","Standard","Hong Kong Island","Southern","\nCyberport Car Park 1, 2/F Cyberport 2, 100 Cyberport Road, Hong Kong\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Cyberport%20car%20park%201_001.jpg\n",0
"34","HEC ex-Operational Headquarters","22.2434043884277","114.147987365723","Quick","Hong Kong Island","Southern","\nHEC ex-Operational Headquarters, G/F 2 Yi Nga Drive, Ap Lei Chau, Hong Kong\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/HK%20Electric%20ex-Operational%20Headquarters.jpg\n",0
"35","The Centrium","22.280725479126","114.154586791992","Standard","Hong Kong Island","Central and Western","\nThe Centrium Carpark 8/F 60 Wyndham Street , Central HK\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/The%20Centrium.jpg\n",0
"36","Citibank Plaza","22.2788238525391","114.160987854004","Standard","Hong Kong Island","Central and Western","\nCitibank Plaza Carpark B2 & B3 Citibank Plaza Lcbc Tower , 3 Garden Road, Central, HK\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Citibank%20Plaza.jpg\n",0
"37","New World Tower","22.280366897583","114.156875610352","Standard","Hong Kong Island","Central and Western","\nNew World Tower Carpark 6/F 16-18 Queen's Rd Central, HK\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/New%20World%20Tower.jpg\n",0
"38","148 Electric Road","22.2864227294922","114.191902160645","Standard","Hong Kong Island","Eastern","\n148 Electric Road Carpark 2/F 148 Electric Road , North Point, HK\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/148%20Electric%20Road.jpg\n",0
"39","Cornell Centre","22.2677135467529","114.243087768555","Standard","Hong Kong Island","Eastern","\nCornell Centre Carpark 1/F 50 Wing Tai Road ,Chai Wan, HK\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Cornell%20Centre.jpg\n",0
"40","Island Resort","22.2654590606689","114.251121520996","Standard","Hong Kong Island","Eastern","\nIsland Resort Carpark 1/F , 28 Siu Sai Wan Road, Chai Wan, HK\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Island%20Resort.jpg\n",0
"41","Great Eagle Centre","22.2808494567871","114.175270080566","Standard","Hong Kong Island","Wan Chai","\nGreat Eagle Centre Carpark 4/F, 23-25 Harbour Road, Wan Chai, HK\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Great%20Eagle%20Centre.jpg\n",0
"42","Hopewell Centr","22.2742805480957","114.171257019043","Standard;SemiQuick","Hong Kong Island","Wan Chai","\nHopewell Centre Carpark 11/F, 183 Queen's Rd E, Wan Chai, HK\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Hopewell%20Centre.jpg\n",0
"43","Olympic House","22.2740020751953","114.18741607666","Standard","Hong Kong Island","Wan Chai","\nOlympic House Carpark G/F 1 Stadium Path, Happy Valley, HK\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Olympic%20House.jpg\n",0
"44","Sino Plaza","22.2816143035889","114.182594299316","Standard","Hong Kong Island","Wan Chai","\nSino Plaza Carpark B2/F 255-257 Gloucester Road, Causerway Bay, HK\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Sino%20Plaza.jpg\n",0
"45","Times Square","22.2779121398926","114.181762695313","Standard","Hong Kong Island","Wan Chai","\nTimes Square Carpark B5 &B6 1 Matheson St, Causeway Bay, HK\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Times%20Square.jpg\n",0
"46","Wu Chung House","22.2743892669678","114.172737121582","Standard","Hong Kong Island","Wan Chai","\nWu Chung House Carpark 5/F 213 Queen's Rd E, Wan Chai, HK\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Wu%20Chung%20House.jpg\n",0
"47","Sunshine Plaza","22.3116893768311","114.189300537109","Standard","Kowloon","Kowloon City","\nSunshine Plaza Carpark Level 2/F 17 Sung On Street , Hung Hom, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Sunshine%20Plaza.jpg\n",0
"48","Exchange Tower","22.3208255767822","114.209732055664","Standard","Kowloon","Kwun Tong","\nExchange Tower Carpark Level B2 33 Wang Chiu Road , Kowloon Bay, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Exchange%20Tower.jpg\n",0
"49","Fullerton Centre","22.313419342041","114.219383239746","Standard","Kowloon","Kwun Tong","\nFullerton Centre Carpark G/F, 19 Hung To Road, Kwun Tong, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Fullerton%20Centre.jpg\n",0
"50","Futura Plaza","22.3117294311523","114.224311828613","Standard","Kowloon","Kwun Tong","\nFutura Plaza Carpark Level 1, 111-113 How Ming Street, Kwun Tong, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Futura%20Plaza.jpg\n",0
"51","\nKowloon Bay International Trade & Exhibition Centre\n","22.3230495452881","114.204521179199","Standard","Kowloon","Kwun Tong","\nKowloon Bay International Trade & Exhibition Centre, Carpark Level B2, 1 Trademart Drive, Kowloon Bay, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Hong%20Kong%20International%20Trade%20and%20Exhibition%20Centre.jpg\n",0
"52","Kwun Tong Harbour Plaza","22.3091583251953","114.221244812012","Standard","Kowloon","Kwun Tong","\nKwun Tong Harbour Plaza Carpark Level 6, 182 Wai Yip Street, Kwun Tong, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Kwun%20Tong%20Harbour%20Plaza.jpg\n",0
"53","Metro Centre","22.32448387146","114.210235595703","Standard","Kowloon","Kwun Tong","\nMetro Centre Carpark G/F, 32 Lam Hing Street, Kowloon Bay Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Metro%20Centre.jpg\n",0
"54","Metro Centre II","22.3246746063232","114.210952758789","Standard","Kowloon","Kwun Tong","\nMetro Centre II Carpark G/F, 21 Lam Hing Street, Kowloon Bay, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Metro%20Centre%20II.jpg\n",0
"55","Remington Centre","22.3130493164063","114.219802856445","Standard","Kowloon","Kwun Tong","\nRemington Centre G/F Carpark, 23 Hung To Road, Kwun Tong, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Regentville%20Shopping%20Mall.jpg\n",0
"56","Skyline Tower","22.3260250091553","114.205360412598","Standard","Kowloon","Kwun Tong","\nSkyline Tower Carpark Level 2, 39 Wang Kwong Road, Kowloon Bay, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Skyline%20Tower.jpg\n",0
"57","Westin Centre","22.3130893707275","114.219520568848","Standard","Kowloon","Kwun Tong","\nWestin Centre Carpark 1/F, 26 Hung To Road, Kwun Tong, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Westin%20Centre.jpg\n",0
"58","Hollywood Plaza","22.3406944274902","114.203102111816","Standard","Kowloon","Wong Tai Sin","\nHollywood Plaza Carpark B1, 3 Lung Poon Street, Diamond Hill, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Hollywood%20Plaza.jpg\n",0
"59","Empire Centre","22.2986316680908","114.178428649902","Standard","Kowloon","Yau Tsim Mong","\nEmpire Centre Carpark B/F, 68 Mody Road, Tsim Sha Tsui, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Empire%20Centre.jpg\n",0
"60","K11 Art Mall","22.2971534729004","114.173316955566","Standard","Kowloon","Yau Tsim Mong","\nK11 Art Mall Carpark B4, 18 Hanoi Road, Tsim Sha Tsui, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/K11%20Art%20Mall.jpg\n",0
"61","Olympian City I","22.3200588226318","114.157608032227","Standard","Kowloon","Yau Tsim Mong","\nOlympian City I Carpark UG, 11 Hoi Fai Road, West Kowloon, Kln\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Olympian%20City%20I.jpg\n",0
"62","Avon Park","22.4874782562256","114.142448425293","Standard","New Territories","North","\nAvon Park, Carpark B1/F, 15 Yat Ming Road, Fanling, N.T.\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Avon%20Park.jpg\n",0
"63","Cambridge Plaza","22.5064926147461","114.122360229492","Standard","New Territories","North","\nCambridge Plaza Carpark G/F, 188 San Wan Road, Sheung Shui, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Cambridge%20Plaza.jpg\n",0
"64","Grand Regentville","22.5003337860107","114.144653320313","Standard","New Territories","North","\nGrand Regentville Carpark B2, 9 Wo Mun Street, Fanling, N.T.\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Grand%20Regentville.jpg\n",0
"65","Regentville Shopping Mall","22.5012283325195","114.143859863281","Standard","New Territories","North","\nRegentville Shopping Mall Carpark B1/F, 8 Wo Mun Street, Fanling, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Regentville%20Shopping%20Mall.jpg\n",0
"66","Corporation Park","22.3893356323242","114.207504272461","Standard","New Territories","Shatin","\nCorporation Park Carpark G/F, 11 On Lai Street, Shatin, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Corporation%20Park.jpg\n",0
"67","Shatin Galleria","22.3972835540771","114.193092346191","Standard","New Territories","Shatin","\nShatin Galleria Carpark 4/F, 18-24 Shan Mei Street, Fo Tan, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Shatin%20Galleria.jpg\n",0
"68","Discovery Park Shopping Mall","22.3760948181152","114.112968444824","Standard","New Territories","Tsuen Wan","\nDiscovery Park Shopping Mall Carpark Level 4, 398 Castle Park Road, Tsuen Wan, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Discovery%20Park%20Shopping%20Mall.jpg\n",0
"69","Panda Place","22.3691139221191","114.120895385742","Standard","New Territories","Tsuen Wan","\nPanda Place Carpark 4/F, 3 Tuen Wah Street, Tsuen Wan, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Panda%20Place.jpg\n",0
"70","Riviera Plaza","22.3629608154297","114.114402770996","Standard","New Territories","Tsuen Wan","\nRiviera Plaza Carpark B1, 28 Wing Shun Street,Tsuen Wan, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Riviera%20Plaza.jpg\n",0
"71","Waterside Plaza","22.3633041381836","114.114570617676","Standard","New Territories","Tsuen Wan","\nWaterside Plaza Carpark 1/F, 38 Wing Shun Street,Tsuen Wan, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Waterside%20Plaza.jpg\n",0
"72","Oceania Heights","22.383939743042","113.971618652344","Standard","New Territories","Tuen Mun","\nOceania Heights Carpark Level 1, 2 Hoi Chu Rd. ,Tuen Mun, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Oceania%20Heights.jpg\n",0
"73","Parklane Centre","22.3961296081543","113.969444274902","Standard","New Territories","Tuen Mun","\nParklane Centre Carpark G/F, 25 Kin Wing St., Tuen Mun, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Parklane%20Centre.jpg\n",0
"74","Tuen Mun Town Plaza II","22.3938217163086","113.976432800293","Standard","New Territories","Tuen Mun","\nTuen Mun Town Plaza II Carpark G/F, 3 Tuen Lung St., Tuen Mun, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Tuen%20Mun%20Town%20Plaza%20II.jpg\n",0
"75","Tuen Mun Town Plaza III","22.3943252563477","113.977485656738","Standard","New Territories","Tuen Mun","\nTuen Mun Town Plaza III Carpark B2/F, 2 Tuen Yan St., Tuen Mun, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Tuen%20Mun%20Town%20Plaza%20III.jpg\n",0
"76","Golden Plaza","22.4452037811279","114.031227111816","Standard","New Territories","Yuen Long","\nGolden Plaza Carpark 3/F, 28 Shui Che Kwun St., Yuen Long, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Golden%20Plaza.jpg\n",0
"77","Ping Wui Centre","22.4468116760254","114.022026062012","Standard","New Territories","Yuen Long","\nPing Wui Centre Carpark 1/F, 13 Ping Wui St., Yuen Long, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Ping%20Wui%20Centre.jpg\n",0
"78","Springdale Villas","22.4404621124268","114.021453857422","Standard","New Territories","Yuen Long","\nSpringdale Villas Carpark 2/F, 80 Ma Tin Road, Yuen Long, NT\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Springdale%20Villas.jpg\n",0
"79","Choi Yuen Plaza","22.5014114379883","114.127182006836","Quick","New Territories","North","\nChoi Yuen Plaza Carpark 3, G/F, Choi Yuen Estate,Sheung Shui ,N.T.\n","CLP","6","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Choi%20Yuen%20Plaza.jpg\n",0
"80","Trend Centre","22.2659244537354","114.235366821289","Standard","Hong Kong Island","Eastern","\nTrend Centre Carpark 1/F, 29-31 Cheung Lee St, Chai Wan, Hong Kong\n","Others","","/EV/PublishingImages/common/map/Trend%20Centre.jpg",0
"81","Amoy Plaza","22.3251075744629","114.21630859375","Standard","Kowloon","Kwun Tong","\nAmoy Plaza Carpark 1/F, 77 Ngau Tau Kok Road, Kowloon Bay, Kowloon\n","Others","","/EV/PublishingImages/common/map/Amoy%20Plaza.jpg",0
"82","Excel Centre","22.3389415740967","114.150192260742","Standard","Kowloon","Sham Shui Po","\nExcel Centre Carpark G/F, 483A Castle Peak Road, Cheung Sha Wan, Kowloon\n","Others","","/EV/PublishingImages/common/map/Excel%20Centre.jpg",0
"83","Choi Yuen Plaza","22.5002918243408","114.126441955566","SemiQuick","New Territories","North","\nChoi Yuen Plaza Carpark 3, G/F, Choi Yuen Estate, Sheung Shui ,N.T.\n","CLP","7-10","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Choi%20Yuen%20Plaza.jpg\n",0
"84","Cheung Fat Plaza","22.3626480102539","114.102630615234","SemiQuick","New Territories","Kwai Tsing","\nCheung Fat Plaza Carpark 2/F, Cheung Fat Estate, Tsing Yi, N.T.\n","CLP","2094 - 2096","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Cheung%20Fat%20Plaza.jpg\n",0
"85","Yau Lai Shopping Centre","22.2985076904297","114.237464904785","SemiQuick","Kowloon","Kwun Tong","\nYau Lai Shopping Centre Carpark LG1/F, 9 Yau Tong Road, Yau Tong, Kowloon\n","CLP","27-30, 34-35","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Yau%20Lai%20Shopping%20Centre.jpg\n",0
"86","Yau Lai Shopping Centre","22.2985076904297","114.237464904785","Quick","Kowloon","Kwun Tong","\nYau Lai Shopping Centre Carpark LG1/F, 9 Yau Tong Road, Yau Tong, Kowloon\n","CLP","31, 33","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Yau%20Lai%20Shopping%20Centre.jpg\n",0
"87","Choi Tak Shopping Centre","22.3314208984375","114.213768005371","SemiQuick","Kowloon","Kwun Tong","\nChoi Tak Shopping Centre Carpark 2/F, Ngau Tau Kok, Kowloon\n","CLP","258-262","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Choi%20Tak%20Shopping%20Centre.jpg\n",0
"88","Shui Pin Wai Estate","22.4468097686768","114.022079467773","Quick","New Territories","Yuen Long","Shui Pin Wai Estate Carpark G/F, Yuen Long, N.T.","CLP","7","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Shui%20Pin%20Wai%20Estate.jpg\n",0
"89","Stanley Plaza","22.2200450897217","114.210319519043","Quick","Hong Kong Island","Southern","\nStanley Plaza Carpark 4/F, 23 Carmel Road, Stanley, Hong Kong\n","Others","","/EV/PublishingImages/common/map/map_dummy_gov.jpg",0
"90","Star Ferry","22.2822742462158","114.160430908203","Quick","Hong Kong Island","Central and Western","\nStar Ferry Carpark 4/F, 9 Edinburgh Place, Central, Hong Kong\n","Others","","\n/EV/PublishingImages/common/map/map_thumb/Star%20Ferry%20Carpark%2001.jpg\n",0
