no,location,lat,lng,type,districtL,districtS,address,provider,parkingNo,img,stationList_Id
"140","Plaza Ascot","22.4001502990723","114.200958251953","Standard","New Territories","Shatin","11 Lok King Street, Fo Tan","Others","","",0
"141","Shatin Plaza","22.3837928771973","114.189521789551","Standard","New Territories","Shatin","21 Shatin Centre Street, Shatin","Others","","",0
"142","The Tolo Place","22.4255027770996","114.229858398438","Standard","New Territories","Shatin","1 On Chun Street, Ma On Shan","Others","","",0
"143","Sunshine City Phase IV","22.4235343933105","114.231117248535","Standard","New Territories","Shatin","18 On Luk Street, Ma On Shan","Others","","",0
"144","Sunshine City Phase III","22.4228897094727","114.231727600098","Standard","New Territories","Shatin","8 On Shing Street, Ma On Shan","Others","","",0
"145","Shatin Galleria","22.3968505859375","114.193458557129","Standard","New Territories","Shatin","13 Shan Mei Street, Fo Tan","Others","","",0
"146","Sheung Shui Centre","22.5005378723145","114.130462646484","Standard","New Territories","North","3 Chi Cheong Road, Sheung Shui","Others","","",0
"147","Tseung Kwan O Plaza","22.3094387054443","114.26163482666","Standard","New Territories","Sai Kung","1 Tong Tak Street, Tseung Kwan O","Others","","",0
"148","PopCorn 2","22.3094062805176","114.261558532715","Standard","New Territories","Sai Kung","1 Tong Tak Street, Tseung Kwan O","Others","","",0
"149","PopCorn 1","22.3083724975586","114.258735656738","Standard","New Territories","Sai Kung","9 Tong Tak Street, Tseung Kwan O","Others","","",0
"150","Maritime Bay","22.3142108917236","114.265312194824","Standard","New Territories","Sai Kung","2 Man Kuk Lane, Pui Shing Road, Tseung Kwan O","Others","","",0
"151","Luk Yeung Sun Chuen","22.37229347229","114.121849060059","Standard","New Territories","Tsuen Wan","22 Wai Tsuen Road, Tsuen Wan","Others","","",0
"152","International Trade Centre","22.3743495941162","114.108009338379","Standard","New Territories","Tsuen Wan","15 Sha Tsui Road, Tsuen Wan","Others","","",0
"153","Town Square","22.3716239929199","114.11840057373","Standard","New Territories","Tsuen Wan","51 Shiu Wo Street, Tsuen Wan","Others","","",0
"154","City Landmark","22.3705806732178","114.117881774902","Standard","New Territories","Tsuen Wan","18 Tak Hoi Street, Tsuen Wan","Others","","",0
"155","Kowloon Shangri-la Hotel","22.2974681854248","114.176887512207","Standard","Kowloon","Yau Tsim Mong","64 Mody Road, Tsim Sha Tsui","Others","","",0
"156","Wealth Commerical Centre","22.3167915344238","114.17350769043","Standard","Kowloon","Yau Tsim Mong","48 Kwong Wa Street, Mong Kok","Others","","",0
"157","Park-In Commercial Centre","22.3154621124268","114.171272277832","Standard","Kowloon","Yau Tsim Mong","56 Dundas Street, Yau Ma Tei","Others","","",0
"158","Elements (South)","22.3040962219238","114.159973144531","Standard","Kowloon","Yau Tsim Mong","Nga Cheung Road, Tsim Sha Tsui","Others","","",0
"159","Elements (North)","22.306697845459","114.161155700684","Standard","Kowloon","Yau Tsim Mong","Nga Cheung Road, Tsim Sha Tsui","Others","","",0
"160","Hong Kong Scout Centre","22.3024673461914","114.169158935547","Standard","Kowloon","Yau Tsim Mong","10 Scout Path, Austin Road, Tsim Sha Tsui","Others","","",0
"161","Aqua Marine (JUSCO Car Park)","22.3331871032715","114.148574829102","Standard","Kowloon","Sham Shui Po","8 Sham Shing Road, Lai Chi Kok","Others","","",0
"162","Manhattan Hill","22.3343048095703","114.142524719238","Standard","Kowloon","Sham Shui Po","1 Po Lun Street, Lai Chi Kok","Others","","",0
"163","Kowloon Plaza","22.3383007049561","114.14917755127","Standard","Kowloon","Sham Shui Po","1008 Tai Nan West Street, Cheung Sha Wan","Others","","",0
"164","Dragon Centre","22.3399715423584","114.149429321289","Standard","Kowloon","Sham Shui Po","104-110 King Lam Street, Cheung Sha Wan","Others","","",0
"165","CEO Tower","22.3393592834473","114.149322509766","Standard","Kowloon","Sham Shui Po","77-79 Wing Hong Street, Cheung Sha Wan","Others","","",0
"166","Garden Estate (Lotus Tower)","22.317663192749","114.217323303223","Standard","Kowloon","Kwun Tong","On Shin Road, Ngau Tau Kok, Kwun Tong","Others","","",0
"167","Lower Ngau Tau Kok Estate","22.3207054138184","114.215644836426","Standard","Kowloon","Kwun Tong","183 Ngau Tau Kok Road, Kwun Tong","Others","","",0
"168","Domain","22.2969417572021","114.23950958252","Standard","Kowloon","Kwun Tong","80 Lei Yue Mun Road, Yau Tong","Others","","",0
"169","Octa Tower","22.3155784606934","114.212265014648","Standard","Kowloon","Kwun Tong","3 Kai Hing Road, Kowloon Bay","Others","","",0
"170","Everest Industrial Centre","22.3128681182861","114.222183227539","Standard","Kowloon","Kwun Tong","85 How Ming Street, Kwun Tong","Others","","",0
"171","Camelpaint Building","22.310697555542","114.225021362305","Standard","Kowloon","Kwun Tong","62 Hoi Yuen Road, Kwun Tong","Others","","",0
"172","Proficient Industrial Centre","22.3226890563965","114.20824432373","Standard","Kowloon","Kwun Tong","6 Wang Kwun Road, Kowloon Bay","Others","","",0
"173","Pacific Trade Centre","22.3158416748047","114.212532043457","Standard","Kowloon","Kwun Tong","1 Kai Hing Road, Kowloon Bay","Others","","",0
"174","Telford Plaza II","22.3210048675537","114.21297454834","Standard","Kowloon","Kwun Tong","33 Wai Yip Street, Kwun Tong","Others","","",0
"175","Convention Plaza (Expo Drive Central Road) Carpark","22.2825965881348","114.173751831055","Standard","Hong Kong Island","Wan Chai","Expo Drive Central, Wan Chai","Others","","",0
